Wellenlaenge,Melanopsin,L-cone-opsin,M-cone-opsin,S-cone-opsin,Rhodopsin,V(lambda)
519,7.17169E-01,6.60880E-01,8.76152E-01,1.92427E-02,9.44E-01,0.6908424
520,6.99628E-01,6.75313E-01,8.89214E-01,1.76298E-02,9.35E-01,0.71
521,6.81888E-01,6.88975E-01,9.00812E-01,1.61501E-02,9.25E-01,0.7281852
522,6.63881E-01,7.01886E-01,9.11006E-01,1.47911E-02,9.15E-01,0.7454636
523,6.45724E-01,7.14140E-01,9.19968E-01,1.35407E-02,9.04E-01,0.7619694
524,6.27533E-01,7.25841E-01,9.27890E-01,1.23884E-02,8.92E-01,0.7778368
525,6.09422E-01,7.37108E-01,9.34977E-01,1.13252E-02,8.80E-01,0.7932
526,5.91339E-01,7.48046E-01,9.41414E-01,1.03437E-02,8.67E-01,0.8081104
527,5.73207E-01,7.58684E-01,9.47279E-01,9.44092E-03,8.54E-01,0.8224962
528,5.55105E-01,7.69032E-01,9.52622E-01,8.61365E-03,8.40E-01,0.8363068
529,5.37112E-01,7.79099E-01,9.57498E-01,7.85831E-03,8.26E-01,0.8494916
530,5.19309E-01,7.88900E-01,9.61962E-01,7.17089E-03,8.11E-01,0.862
531,5.01645E-01,7.98472E-01,9.66080E-01,6.54648E-03,7.96E-01,0.8738108
532,4.84067E-01,8.07945E-01,9.69966E-01,5.97777E-03,7.81E-01,0.8849624
533,4.66643E-01,8.17478E-01,9.73743E-01,5.45794E-03,7.65E-01,0.8954936
534,4.49442E-01,8.27239E-01,9.77539E-01,4.98125E-03,7.49E-01,0.9054432
535,4.32533E-01,8.37403E-01,9.81481E-01,4.54287E-03,7.33E-01,0.9148501
536,4.15862E-01,8.48078E-01,9.85629E-01,4.13908E-03,7.17E-01,0.9237348
537,3.99372E-01,8.59064E-01,9.89754E-01,3.76794E-03,7.00E-01,0.9320924
538,3.83136E-01,8.70068E-01,9.93551E-01,3.42783E-03,6.83E-01,0.9399226
539,3.67224E-01,8.80779E-01,9.96714E-01,3.11696E-03,6.67E-01,0.9472252
540,3.51707E-01,8.90871E-01,9.98931E-01,2.83352E-03,6.50E-01,0.954
541,3.36537E-01,9.00057E-01,9.99942E-01,2.57556E-03,6.33E-01,0.9602561
542,3.21647E-01,9.08253E-01,9.99692E-01,2.34084E-03,6.16E-01,0.9660074
543,3.07085E-01,9.15433E-01,9.98178E-01,2.12722E-03,5.99E-01,0.9712606
544,2.92899E-01,9.21575E-01,9.95405E-01,1.93276E-03,5.81E-01,0.9760225
545,2.79135E-01,9.26660E-01,9.91383E-01,1.75573E-03,5.64E-01,0.9803
546,2.65737E-01,9.30744E-01,9.86199E-01,1.59455E-03,5.48E-01,0.9840924
547,2.52648E-01,9.34160E-01,9.80229E-01,1.44783E-03,5.31E-01,0.9874182
548,2.39917E-01,9.37318E-01,9.73906E-01,1.31430E-03,5.14E-01,0.9903128
549,2.27592E-01,9.40634E-01,9.67653E-01,1.19281E-03,4.97E-01,0.9928116
550,2.15722E-01,9.44527E-01,9.61876E-01,1.08230E-03,4.81E-01,0.9949501
551,2.04238E-01,9.49291E-01,9.56820E-01,9.81819E-04,4.65E-01,0.9967108
552,1.93075E-01,9.54680E-01,9.52151E-01,8.90533E-04,4.48E-01,0.9980983
553,1.82288E-01,9.60309E-01,9.47398E-01,8.07687E-04,4.33E-01,0.999112
554,1.71930E-01,9.65785E-01,9.42105E-01,7.32568E-04,4.17E-01,0.9997482
555,1.62056E-01,9.70703E-01,9.35829E-01,6.64512E-04,4.02E-01,1
556,1.52601E-01,9.74756E-01,9.28274E-01,6.02887E-04,3.864E-01,0.9998567
557,1.43487E-01,9.78055E-01,9.19667E-01,5.47062E-04,3.715E-01,0.9993046
558,1.34748E-01,9.80819E-01,9.10356E-01,4.96461E-04,3.569E-01,0.9983255
559,1.26416E-01,9.83271E-01,9.00677E-01,4.50571E-04,3.427E-01,0.9968987
560,1.18526E-01,9.85636E-01,8.90949E-01,4.08931E-04,3.288E-01,0.995
561,1.11007E-01,9.88085E-01,8.81386E-01,3.71136E-04,3.151E-01,0.9926005
562,1.03793E-01,9.90560E-01,8.71834E-01,3.36838E-04,3.018E-01,0.9897426
563,9.69206E-02,9.92945E-01,8.62059E-01,3.05723E-04,2.888E-01,0.9864444
564,9.04259E-02,9.95124E-01,8.51840E-01,2.77504E-04,2.762E-01,0.9827241
